LatGridBinSize 2.0
LonGridBinSize 2.0
LAT  LON   EVENT_COUNT  MAX_DEPTH  MIN_DEPTH  AVG_DEPTH  MIN_MAG  MAX_MAG  AVG_MAG
-44 40 3 10.0 10.0 10.0 4.7 4.6 4.63
-44 80 1 10.0 10.0 10.0 4.7 4.7 4.7
-44 94 12 10.0 3.22 9.44 5.3 4.1 4.72
-44 96 7 10.0 10.0 10.0 6.5 4.2 5.09
-44 164 1 12.0 12.0 12.0 4.4 4.4 4.4
-44 166 122 136.7 0.7 51.29 5.5 3.7 4.32
-44 168 32 90.6 3.0 13.91 5.6 3.9 4.43
-44 170 5 10.15 4.0 7.67 4.3 3.6 4.1
-42 -108 1 10.0 10.0 10.0 4.5 4.5 4.5
-42 -82 32 10.17 10.0 10.01 5.6 4.3 4.73
-42 -80 2 10.0 10.0 10.0 5.4 5.3 5.35
-42 -78 2 10.0 9.6 9.8 4.7 4.3 4.5
-42 -74 61 35.0 3.29 18.73 5.6 3.8 4.34
-42 -72 9 163.08 10.0 60.63 7.6 4.0 4.83
-42 -70 1 165.4 165.4 165.4 4.4 4.4 4.4
-42 -20 1 10.0 10.0 10.0 4.5 4.5 4.5
-42 -16 25 15.0 7.2 10.09 5.7 4.2 4.85
-42 -14 8 14.3 10.0 10.54 5.0 4.2 4.59
-42 8 1 10.0 10.0 10.0 4.6 4.6 4.6
-42 38 27 14.93 10.0 10.18 5.2 4.0 4.63
-42 40 38 16.54 10.0 10.46 5.2 4.0 4.52
-42 42 10 13.0 10.0 10.3 6.7 4.3 4.91
-42 78 1 10.0 10.0 10.0 5.2 5.2 5.2
-42 80 2 10.0 10.0 10.0 4.8 4.4 4.6
-42 82 14 14.43 10.0 10.32 5.0 4.2 4.71
-42 84 10 15.29 10.0 11.02 5.4 4.3 4.73
-42 88 6 13.83 10.0 10.64 5.9 4.6 4.98
-42 90 4 14.97 10.0 11.24 4.8 4.2 4.5
-42 120 1 10.0 10.0 10.0 5.0 5.0 5.0
-42 122 1 10.0 10.0 10.0 5.6 5.6 5.6
-42 124 4 10.0 10.0 10.0 5.3 4.3 4.78
-42 168 2 19.5 9.24 14.37 4.2 4.2 4.2
-42 170 47 28.4 2.11 9.79 7.0 3.8 4.34
-42 172 735 108.3 0.0 11.03 7.8 3.5 4.29
-42 174 33 33.0 4.94 12.09 5.8 3.7 4.41
-42 176 2 180.2 10.0 95.1 4.7 4.0 4.35
-42 178 2 109.5 33.0 71.25 4.4 4.0 4.2
-40 -178 1 10.0 10.0 10.0 4.1 4.1 4.1
-40 -150 1 10.0 10.0 10.0 4.9 4.9 4.9
-40 -110 1 10.0 10.0 10.0 4.9 4.9 4.9
-40 -104 3 10.0 10.0 10.0 5.1 4.6 4.87
-40 -92 4 10.0 10.0 10.0 4.6 4.4 4.5
-40 -90 50 16.01 9.99 10.25 5.5 4.1 4.71
-40 -88 27 15.03 7.0 10.08 5.8 4.0 4.89
-40 -86 22 14.97 7.09 10.09 5.8 4.3 4.8
-40 -84 23 10.0 10.0 10.0 5.8 4.2 4.84
-40 -82 7 16.8 10.0 11.46 5.3 4.5 4.94
-40 -80 1 10.0 10.0 10.0 4.8 4.8 4.8
-40 -76 1 25.0 25.0 25.0 4.0 4.0 4.0
-40 -74 11 41.25 10.0 24.91 5.0 4.1 4.45
-40 -72 34 132.28 2.1 37.68 5.0 3.6 4.43
-40 -70 11 144.3 9.8 39.4 6.1 4.0 4.73
-40 -56 1 10.0 10.0 10.0 4.0 4.0 4.0
-40 -16 24 14.7 9.88 10.19 5.6 4.2 4.82
-40 -10 1 10.0 10.0 10.0 5.1 5.1 5.1
-40 42 28 17.0 9.78 10.41 5.1 4.2 4.61
-40 44 24 15.55 9.0 11.02 5.9 4.2 4.73
-40 46 2 10.0 10.0 10.0 5.1 4.2 4.65
-40 76 2 10.0 10.0 10.0 4.6 4.6 4.6
-40 78 26 10.0 10.0 10.0 6.3 4.3 4.8
-40 80 19 10.0 9.0 9.95 6.0 4.0 4.85
-40 84 19 10.0 9.31 9.96 5.5 4.5 4.77
-40 86 3 10.0 10.0 10.0 4.6 4.2 4.47
-40 88 11 10.0 10.0 10.0 5.7 4.2 4.72
-40 118 1 10.0 10.0 10.0 4.4 4.4 4.4
-40 126 1 10.0 10.0 10.0 4.8 4.8 4.8
-40 154 1 14.7 14.7 14.7 4.7 4.7 4.7
-40 170 2 5.0 3.9 4.45 4.0 3.8 3.9
-40 172 75 229.8 3.0 100.01 6.3 3.8 4.34
-40 174 405 124.1 2.0 22.59 6.5 3.5 4.4
-40 176 55 54.21 8.81 29.59 5.9 3.8 4.43
-40 178 1 33.0 33.0 33.0 4.2 4.2 4.2
-38 -178 7 34.3 10.0 30.01 5.0 4.1 4.56
-38 -94 4 10.0 10.0 10.0 4.8 4.3 4.5
-38 -92 25 10.0 10.0 10.0 5.9 4.2 4.73
-38 -90 8 10.0 10.0 10.0 5.4 4.4 4.79
-38 -74 72 50.13 4.79 24.85 5.8 4.0 4.53
-38 -72 203 113.2 4.9 33.38 7.2 3.5 4.63
-38 -70 11 190.25 24.8 133.11 5.1 4.1 4.45
-38 -68 3 19.7 13.84 16.06 5.0 4.2 4.53
-38 -16 19 14.8 10.0 10.47 5.5 4.3 4.91
-38 -14 11 13.89 10.0 10.7 5.4 4.7 5.02
-38 34 1 10.0 10.0 10.0 4.8 4.8 4.8
-38 44 3 10.0 10.0 10.0 5.1 4.1 4.47
